input,expected_output,expected_articles
Wie viele Angriffe hat Russland in der Nacht zum Sonntag auf die Ukraine abgefeuert?,"Russland hat in der Nacht zum Sonntag mehr als 500 Drohnen, Raketen und Marschflugkörper auf die Ukraine abgefeuert.",2025-06-30/ausland/article_9.md
Was glaubt McManus über Trumps Definition von Frieden im Ukraine-Konflikt?,"McManus glaubt, dass Trump Frieden nach Russlands Vorstellungen definiert - ohne Sicherheitsgarantien für die Ukraine, also nur ein Waffenstillstand, der es Russland erlaubt, sich neu aufzustellen und gestärkt zurückzukommen.",2025-04-30/ausland/article_5.md
Warum senkt 1&1 die Ergebnis-Prognose?,Der Telekommunikationsanbieter 1&1 senkt wegen unerwartet hoher Kosten beim National Roaming mit Vodafone die Ergebnis-Prognose.,2025-06-30/wirtschaft/article_4.md
Wie viele Mandate wird der nächste Bundestag maximal haben?,Die Zahl der Mandate im nächsten Bundestag ist auf maximal 630 begrenzt.,2025-02-23/inland/article_13.md
Warum hat Northvolt die Produktion in 'Upstream 1' pausiert?,"Northvolt spricht davon, dass man aufgrund der 'operativen und finanziellen Situation' eine neue Priorisierung habe vornehmen müssen.",2025-02-28/wirtschaft/article_7.md
Wie hoch ist der Goldpreis pro Feinunze gestiegen?,Der Goldpreis ist heute bis auf 2.816 Dollar je Feinunze gestiegen.,2025-01-31/wirtschaft/article_7.md
Welche falschen Behauptungen machte die AfD-Spitzendkandidatin Weidel im Wahlkampf?,"Weidel behauptete fälschlicherweise, Deutschland habe die höchsten Energiepreise weltweit und dass ein deutscher Wiedereinstieg in die Atomenergie zu sinkenden Strompreisen führe.",2025-02-23/inland/article_13.md
Wie viele Menschen mussten nach dem Vorfall ins Krankenhaus?,"Zwölf von ihnen mussten ins Krankenhaus, alle davon mit leichten Verletzungen.",2025-03-14/ausland/article_7.md
Wie viel Geld gaben Lobbyisten im Jahr 2024 für Lobbyarbeit aus?,Lobbyisten gaben im Jahr 2024 rund eine Milliarde Euro für Lobbyarbeit aus.,2025-03-31/inland/article_4.md
"Wer hat Franziskus außenpolitisch vertreten, als er ins Krankenhaus eingeliefert wurde?",Kardinalstaatssekretär Pietro Parolin,2025-02-23/ausland/article_11.md
Wie steht Premier Tusk zur Migrationspolitik des neuen Kanzlers Merz?,Mit der Migrationspolitik des neuen Kanzlers ist er nicht einverstanden.,2025-05-08/ausland/article_18.md
Welche Zölle hat US-Präsident Donald Trump im März verhängt?,US-Präsident Donald Trump hatte im März Zölle auf Stahl und Aluminium verhängt.,2025-05-08/ausland/article_0.md
Wann wird der neue Bundestag laut dem Bundesverfassungsgericht frühestens einberufen?,Der neue Bundestag wird frühestens am 25. März einberufen.,2025-03-14/inland/article_11.md
Wegen welcher Vorwürfe ermittelt die italienische Justiz gegen Ministerpräsidentin Meloni?,Die italienische Justiz ermittelt gegen Ministerpräsidentin Giorgia Meloni wegen der umstrittenen Freilassung eines vom Internationalen Strafgerichtshof (IStGH) wegen Kriegsverbrechen gesuchten Libyers. Ihr wird unter anderem Beihilfe zu einer Straftat vorgeworfen.,2025-01-28/ausland/article_11.md
"Welche Temperatur wurde in Huelva, Spanien, während der Hitzewelle im Juni gemessen?",46 Grad Celsius,2025-06-30/ausland/article_8.md
Wie lange waren die drei israelischen Frauen in Gefangenschaft?,471 Tage,2025-01-20/ausland/article_11.md
Wer hat Friedrich Merz vor dem zweiten Wahlgang Glück gewünscht?,SPD-Chefin Saskia Esken schüttelt Merz sekundenlang beide Hände und scheint ihm Glück zu wünschen.,2025-05-06/inland/article_11.md
Wer war fast 40 Jahre lang Direktor des US-Instituts für Infektionskrankheiten?,Fauci war fast 40 Jahre lang Direktor des US-Instituts für Infektionskrankheiten.,2025-01-20/ausland/article_1.md
Wie viel hat die Familie Selenskyj im Vorjahr eingenommen?,"Die Familie Selenskyj hat im Vorjahr insgesamt 15,2 Millionen Griwna (rund 335.000 Euro) eingenommen.",2025-03-31/ausland/article_6.md
Warum scheiterte die Annahme des 18. Sanktionspakets der EU?,Am Freitag war die Annahme des 18. Sanktionspakets der EU zunächst am Widerstand der Slowakei gescheitert.,2025-06-30/ausland/article_2.md
Wie hat sich der Pegelstand des Stausees nach dem Gletscherabbruch in der Schweiz verändert?,"Der Pegelstand des Stausees, der sich am Gebirgsfluss Lonza gebildet hat, ist seit gestern um etwa einen Meter gesunken.",2025-05-31/ausland/article_14.md|2025-05-31/ausland/article_12.md
Wer warf Friedrich Merz einen 'Erpressungsversuch' vor?,Grünen-Kanzlerkandidat Robert Habeck,2025-01-31/inland/article_1.md
Welches Gericht ist in erster Instanz für die Klage der AfD gegen die Einstufung zuständig?,In erster Instanz ist das Verwaltungsgericht Köln zuständig.,2025-05-08/inland/article_5.md
Welcher Vorwurf wird Medin in Bezug auf die PKK gemacht?,"Medin wird vorgeworfen, in den sozialen Medien 'Propaganda' für die verbotene kurdische Arbeiterpartei PKK verbreitet zu haben.",2025-04-30/ausland/article_1.md
Seit wann gibt es deutsche Kontrollen bei Einreisenden aus Österreich?,Es gibt sie schon seit zehn Jahren.,2025-05-08/ausland/article_4.md
Welches Unternehmen verzeichnete einen Kursplus von mehr als sieben Prozent im Nasdaq 100?,Nvidia,2025-01-28/wirtschaft/article_3.md
Welche Themen sind laut Kassem Taher Saleh im Osten Deutschlands besonders wichtig?,"Frieden, Migration, Wirtschaft, Vermögen und Repräsentation auf der Bundesebene.",2025-06-30/inland/article_2.md
Wie versuchen die Behörden Touristen zu beruhigen?,"Die Behörden versuchen Touristen zu beruhigen, indem sie mitteilen, dass der Betrieb in Hotels wie gewohnt weiterläuft, Veranstaltungen stattfinden und an Sehenswürdigkeiten keine Schäden festgestellt wurden.",2025-03-31/ausland/article_1.md
Wie viele Abgeordnete wird der neue Bundestag aufgrund der Wahlrechtsreform haben?,Die Zahl der Abgeordneten wurde auf 630 begrenzt.,2025-02-23/inland/article_10.md
Wie hat sich das deutsche Bruttoinlandsprodukt (BIP) im ersten Quartal 2025 im Vergleich zum Vorquartal entwickelt?,"Das deutsche Bruttoinlandsprodukt (BIP) hat von Januar bis März preis-, saison- und kalenderbereinigt um 0,2 Prozent zum Vorquartal zugelegt.",2025-04-30/wirtschaft/article_1.md
Um wie viel Prozent ist die Zahl der Asylanträge im Jahr 2024 gesunken?,Die Zahl der Asylanträge ist 2024 um etwa 30 Prozent gesunken.,2025-01-28/inland/article_8.md
Was befürworten die professionellen Beobachter der Geldpolitik laut dem Artikel?,Die professionellen Beobachter der Geldpolitik befürworten die geplanten Milliardeninvestitionen in die Rüstung.,2025-03-14/wirtschaft/article_5.md
Was streben die EU und Indien im Jahr 2025 an?,Die EU und Indien streben den Abschluss eines Freihandelsabkommens noch in diesem Jahr an.,2025-02-28/ausland/article_9.md|2025-02-28/ausland/article_1.md
Welche Position übernimmt Karsten Wildberger im neuen Ministerium?,Karsten Wildberger übernimmt das neue Digitalministerium.,2025-05-06/inland/article_1.md
Welche Parteien haben Organstreitverfahren beim Bundesverfassungsgericht beantragt?,Sowohl die AfD-Fraktion als auch die künftige Linksfraktion haben Organstreitverfahren beantragt.,2025-03-14/inland/article_0.md
In welchem Land werden die Gewinne aus dem Abkommen investiert?,Die Gewinne werden vorerst ausschließlich in der Ukraine investiert.,2025-05-08/ausland/article_19.md
In welchen Städten gab es moderate Anstiege der Immobilienpreise?,"Moderate Anstiege gab es in Düsseldorf (1,3 Prozent), Frankfurt (0,7) und Leipzig (0,6).",2025-05-08/wirtschaft/article_6.md
Welche Position hatte Stefanie Hubig vor ihrer Ernennung zur Bundesjustizministerin?,Stefanie Hubig war zuvor neun Jahre lang Bildungsministerin in Rheinland-Pfalz.,2025-05-08/inland/article_7.md
Wie viele Beschäftigte beteiligten sich laut Gewerkschaft ver.di am eintägigen Warnstreik?,Laut Gewerkschaft ver.di beteiligten sich 8.000 Beschäftigte in allen Bundesländern an dem eintägigen Warnstreik.,2025-01-28/wirtschaft/article_7.md
Was erwarten Experten für die Inflationsrate der Eurozone im Vergleich zum Januar?,"Experten erwarten einen Rückgang der Teuerungsrate von 2,5 Prozent im Januar auf eine Inflationsrate von 2,3 Prozent.",2025-02-28/wirtschaft/article_8.md
Warum möchte Marine Le Pen einen schnellen Berufungsprozess?,"Marine Le Pen möchte einen schnellen Berufungsprozess, um möglicherweise doch bei der Präsidentschaftswahl kandidieren zu können.",2025-03-31/ausland/article_12.md
Welche Themen gelten als Streitpunkte in den Sondierungsgesprächen zwischen Union und SPD nach der Bundestagswahl 2025?,"Zu den Streitpunkten zählen die Forderung von Merz, an Deutschlands Grenzen auch Asylsuchende zurückzuweisen, sowie der Vorschlag von CDU/CSU, das Bürgergeld durch eine 'neue Grundsicherung' zu ersetzen.",2025-02-28/inland/article_1.md|2025-02-28/inland/article_3.md|2025-02-28/inland/article_2.md
Was fordert der Verband von der künftigen Regierung?,"Der Verband fordert zeitnahe Entlastungssignale und eine entschlossene Agenda für mehr Wachstum, einschließlich Bürokratierückbau, niedrigere Energiepreise und Investitionen in die Infrastruktur.",2025-01-28/wirtschaft/article_6.md
Wie viele palästinensische Häftlinge sollte Israel im Rahmen des Waffenruhe-Abkommens freilassen?,Etwa 620 palästinensische Häftlinge.,2025-02-23/ausland/article_7.md
Welche Verpflichtung hat Deutschland gegenüber dem Internationalen Strafgerichtshof (IStGH)?,"Deutschland ist Vertragsstaat des IStGH und damit zur Zusammenarbeit verpflichtet, was bedeutet, dass es bei Vorliegen eines Haftbefehls und eines Ersuchens um Festnahme handeln muss.",2025-02-28/inland/article_5.md
Seit wann wird das Modell zur Auszeit bei John Deere eingesetzt?,"Seit fast einem Jahr, seit April 2024, ist das Modell bei John Deere im Einsatz.",2025-02-23/wirtschaft/article_1.md
Seit wann liegt Franziskus im Gemelli-Krankenhaus in Rom?,Franziskus liegt seit dem 14. Februar im Gemelli-Krankenhaus in Rom.,2025-02-23/ausland/article_11.md
Welche Gründe nennt Federle für die wachsende Unzufriedenheit in der Bevölkerung?,"Der Frust der Bürger über immer weniger Geld im Portemonnaie und die Inflation, die schneller als die Reallöhne steigt, sind Gründe für die wachsende Unzufriedenheit in der Bevölkerung.",2025-01-31/wirtschaft/article_4.md
Was passiert am Montag nach dem Wahlsonntag in Deutschland?,"Am Montag tagen die Parteispitzen, es gibt Blumen und Pressekonferenzen. Vielleicht auch Rücktritte.",2025-02-23/inland/article_13.md
Welche Parteien lehnt Söder für eine Koalition ab?,Söder lehnt eine Koalition mit den Grünen und der FDP ab.,2025-02-23/inland/article_0.md
"Warum konnten sich SPD, Grüne und FDP nicht auf strengere Regeln zum Schutz kritischer Anlagen einigen?","Die ehemaligen Ampel-Parteien konnten sich nicht einigen, weil die SPD der FDP Maximalforderungen vorwarf, die FDP Nachbesserungsbedarf sah und die Grünen SPD und FDP vorwarfen, auf Kompromissvorschläge nicht eingegangen zu sein.",2025-01-28/inland/article_7.md
Was fordert die neue SPD-Entwicklungsministerin Reem Alabali Radovan im Gespräch mit der ARD?,Mehr Unterstützung im Land und betont die Wichtigkeit der Entwicklungszusammenarbeit für Deutschlands Sicherheit und Wohlstand.,2025-06-30/inland/article_0.md
Was befürchten Kritiker in Bezug auf die Unabhängigkeit der Richter?,"Kritiker befürchten, dass Richter nicht mehr unabhängig entscheiden, sondern sich nach der öffentlichen Meinung oder politischen Interessen richten, um ihre Wiederwahl zu sichern.",2025-05-31/ausland/article_8.md
Mit wem trafen sich die fünf Geflüchteten bei 'Malakeh'?,Sie trafen sich mit der ehemaligen Bundeskanzlerin Angela Merkel.,2025-06-30/inland/article_4.md
Wer hat die israelische Kriegsstrategie im Gazastreifen hinterfragt?,Kanzleramtsminister Thorsten Frei (CDU) hat die israelische Kriegsstrategie im Gazastreifen hinterfragt.,2025-05-31/ausland/article_3.md
Wer ist der größte Geldgeber der WHO?,Washington ist der mit Abstand größte Geldgeber der WHO.,2025-01-28/ausland/article_5.md
Welche Themen dominierten den Wahlkampf nach dem Messerangriff in Aschaffenburg?,Nach dem Messerangriff in Aschaffenburg dominierte die Asyl- und Zuwanderungspolitik den Wahlkampf.,2025-02-23/inland/article_13.md
Wie hoch war der Anstieg der Tarifverdienste im Jahr 2024 ohne Sonderzahlungen?,"Ohne Sonderzahlungen waren es 4,3 Prozent zusätzlich.",2025-02-28/wirtschaft/article_6.md
Warum ist Hussein mit seinen Eltern aus dem Saarland gekommen?,"Hussein ist mit seinen Eltern aus dem Saarland gekommen, um Abschied zu nehmen, weil er glaubt, dass Nasrallah Stärke gegeben und das Land verteidigt hat.",2025-02-23/ausland/article_5.md
Welche Fahrzeuge importiert der US-Autoriese weiterhin aus China?,Der US-Autoriese importiert weiterhin Fahrzeuge wie den Lincoln Nautilus aus China.,2025-05-06/wirtschaft/article_4.md
Wie hat Trump den Fed-Vorsitzenden in der Vergangenheit beschrieben?,"Trump verglich den Fed-Vorsitzenden einmal mit 'einem Golfer, der nicht putten kann' und beschimpfte die Fed-Banker als 'Dummköpfe'.",2025-05-08/wirtschaft/article_0.md
Wie viele Fälle von unberechtigten Lohnfortzahlungen gibt es laut Tesla pro Monat?,Rund ein Dutzend Fälle pro Monat.,2025-03-14/wirtschaft/article_6.md
Welche Maßnahmen plant die EU als Reaktion auf die Erhöhung der US-Zölle auf Stahl- und Aluminiumimporte?,"Die EU sei bereit, Gegenmaßnahmen zu ergreifen, die auch früher als am 14. Juli passieren könnten. Zu diesem Termin würden nach derzeitigem Stand automatisch Gegenzölle der EU in Kraft treten.",2025-05-31/ausland/article_13.md
Was plant Trump im Bereich der Energieversorgung zu tun?,Trump will einen nationalen Notstand ausrufen und die Förderung von Gas und Öl wieder ankurbeln.,2025-01-20/ausland/article_7.md
In welches Gebiet dürfen Touristen nach der Öffnung Nordkoreas reisen?,"Touristen dürfen nur in das Grenzgebiet Rason im Dreiländereck zwischen Nordkorea, Russland und China reisen.",2025-01-28/ausland/article_10.md
Welche Probleme gibt es bei der Umsetzung des neuen Gesetzes laut Migrationsforscherin Schultz?,"Es hake vor allem noch an der vollständigen Digitalisierung der Abläufe, an der Schulung des Personals in den Ausländerämtern und an der Personalnot in den Behörden.",2025-02-23/wirtschaft/article_0.md
Was plant der neue Präsident in Bezug auf die Grenze zu Mexiko?,"Er will die Grenze zu Mexiko faktisch schließen und die Armee dorthin schicken, um die Sicherheit wiederherzustellen.",2025-01-20/ausland/article_17.md
Was hofft Markthändler Frank Baumüller von Friedrich Merz?,"Der Unternehmer ist überzeugt davon, dass Merz die Wirtschaftswende bringen wird, die er versprochen hat. Er glaubt daran, dass er vor allem den Mittelstand im Blick behalten wird.",2025-05-06/inland/article_12.md
Wem verdanken die Liberalen ihren Wahlerfolg laut Geneviève Tellier?,Die Liberalen verdanken ihren Wahlerfolg Trumps aggressiver Politik.,2025-04-30/ausland/article_12.md
Warum hat der norwegische Pensionsfonds KLP seine Anteile an Thyssenkrupp verkauft?,"Der norwegische Pensionsfonds KLP hat seine Anteile an Thyssenkrupp verkauft, weil das Unternehmen Kriegsschiffe und U-Boote an die israelische Marine liefert, was laut KLP gegen grundlegende Menschenrechte und das humanitäre Recht verstößt.",2025-06-30/wirtschaft/article_6.md
Wie viele Verschüttete wurden in Myanmar nach dem Erdbeben gerettet?,Rund 60 Stunden nach dem schweren Erdbeben in Myanmar haben Rettungskräfte drei Verschüttete aus den Trümmern gerettet.,2025-03-31/ausland/article_18.md
Warum wurde der Zugang zu Ekrem İmamoğlus Konto auf X in der Türkei gesperrt?,"Der Zugang wurde gesperrt, weil die türkischen Behörden Bedenken hinsichtlich der nationalen Sicherheit und der öffentlichen Ordnung geltend gemacht haben und ein Beitrag von İmamoğlu als Aufforderung zu einer Straftat eingestuft wurde.",2025-05-08/ausland/article_12.md
Warum wurden keine DJs aus Belarus mehr eingeladen?,Die Partyfreundschaft sei mit dem Krieg in der Ukraine und dem russlandnahen Kurs der belarusischen Regierung vorbei gewesen.,2025-05-31/ausland/article_5.md
Wie hoch war das US-Handelsbilanzdefizit im März vor Trumps Zollankündigungen?,"Das US-Handelsbilanzdefizit erreichte im März ein Rekordniveau von 140,5 Milliarden Dollar.",2025-05-06/wirtschaft/article_1.md
Welche Partei fordert eine Verschärfung der Migrationspolitik in Deutschland?,CDU/CSU,2025-02-28/inland/article_6.md
Welche Zölle planen die USA ab dem 1. Februar zu erheben?,"Die USA wollen ab dem 1. Februar Zölle auf Importe aus Mexiko, Kanada und China erheben. Auf Waren aus Kanada und Mexiko soll ein Zoll von 25 Prozent erhoben werden, auf Güter aus China ein Zoll von zehn Prozent.",2025-01-31/wirtschaft/article_7.md
Um wie viel Prozent stieg der Gewinn von Visa im ersten Quartal des Geschäftsjahres 2024/25?,Der Gewinn von Visa stieg um fünf Prozent.,2025-01-31/wirtschaft/article_7.md
Warum möchte Albrecht Weinberg sein Bundesverdienstkreuz zurückgeben?,"Albrecht Weinberg möchte sein Bundesverdienstkreuz zurückgeben, weil der Bundestag einem Fünf-Punkte-Plan der Union zur Verschärfung der Migrationspolitik zugestimmt hat, was ihn schockiert hat.",2025-01-31/inland/article_5.md
Was hat das EU-Parlament bezüglich des Wolfs-Abschusses beschlossen?,"Das EU-Parlament hat beschlossen, den Schutzstatus des Wolfs von 'streng geschützt' auf 'geschützt' abzusenken, um einen leichteren Abschuss zu ermöglichen.",2025-05-08/ausland/article_20.md
Wie bewerten Unternehmen die Rahmenbedingungen in Deutschland laut der Forsa-Umfrage?,Gerade einmal zehn Prozent der 1.525 Unternehmen bewerten die Rahmenbedingungen in Deutschland als 'sehr gut' oder 'gut'.,2025-05-06/wirtschaft/article_1.md
Wie hoch ist der aktuelle Wert von Bitcoin laut dem Artikel?,Die Kryptowährung ist heute über die Marke von 100.000 Dollar gestiegen.,2025-05-08/wirtschaft/article_4.md
Wie stehen junge Menschen in Deutschland zu einer möglichen Dienstpflicht?,Die 18- bis 29-Jährigen lehnen eine Wehrpflicht zu 61 Prozent ab.,2025-03-31/inland/article_2.md
Wie sieht Friedrich Merz Donald Trump?,Friedrich Merz hält Trump für 'sehr gut kalkulierbar'.,2025-01-20/inland/article_0.md
Wie lange laufen die meisten Risikolebensversicherungen?,Die meisten Risikolebensversicherungen laufen zwischen 20 und 25 Jahre.,2025-04-30/wirtschaft/article_5.md
Welche Maßnahmen haben laut Christian Drosten am meisten zur Eindämmung des Virus beigetragen?,Vor allem Versammlungsverbote haben von allen Maßnahmen am meisten gebracht.,2025-03-14/inland/article_4.md
Wie bezeichnete Robert Habeck das Abschneiden seiner Partei bei der Wahl?,Robert Habeck bezeichnete das Abschneiden seiner Partei als 'durchwachsen'.,2025-02-23/inland/article_5.md
Was hat Trump bezüglich Kryptowährungen versprochen?,"Trump hatte versprochen, die Regulierungen für Kryptowährungen zu lockern und hat sich für eine nationale Bitcoin-Reserve der USA ausgesprochen.",2025-01-20/wirtschaft/article_3.md
Warum ist die SPD über die CDU verärgert bezüglich der Stromsteuer?,"Die SPD ist verärgert, weil die CDU die Einigung zur Stromsteuer hinterfragt und öffentlich kritisiert, obwohl der CDU-Kanzler den Beschluss mitträgt.",2025-06-30/inland/article_6.md
Wie viel Gewinn erzielte Visa im ersten Quartal des Geschäftsjahres 2024/25?,"Der Gewinn des Konzerns aus San Francisco stieg im ersten Quartal des laufenden Geschäftsjahres 2024/25 um fünf Prozent auf 5,1 Milliarden Dollar.",2025-01-31/wirtschaft/article_7.md
Wer soll laut SPD-Präsidium Vizekanzler und Finanzminister werden?,Parteichef Lars Klingbeil soll Vizekanzler und Finanzminister werden.,2025-04-30/inland/article_9.md
Wie hoch darf UniCredit ihren Anteil an der Commerzbank laut EZB erhöhen?,"UniCredit darf ihren Anteil an der Commerzbank auf maximal 29,9 Prozent erhöhen.",2025-03-14/wirtschaft/article_0.md
Was geschah mit dem Dorf Blatten im Lötschental?,"Das Dorf Blatten ist fast völlig unter meterhohem Schutt verschwunden, und die meisten der wenigen Häuser, die verschont blieben, sind durch das aufgestaute Wasser der Lonza überflutet.",2025-05-31/ausland/article_14.md
Welche Position hatte Pam Bondi in Florida inne?,Sie war viele Jahre erste Generalstaatsanwältin Floridas.,2025-01-20/ausland/article_8.md
Welche politische Debatte hat Friedrich Merz ausgelöst?,"Friedrich Merz hat eine Debatte über die finanzpolitische Ausrichtung der CDU ausgelöst, indem er die Lockerung der Schuldenbremse und das Sondervermögen thematisierte.",2025-02-28/inland/article_0.md
Welcher Song machte Marianne Faithfull berühmt?,Der Song 'As Tears Go By' machte Marianne Faithfull berühmt.,2025-01-31/ausland/article_1.md
Worüber wird im Parlament im Zusammenhang mit dem Afghanistan-Einsatz diskutiert?,"Im Parlament wird über die Abschlussberichte der Enquete-Kommission und des Untersuchungsausschusses diskutiert, die den Afghanistan-Einsatz und besonders die Evakuierungsaktion bewerten.",2025-01-31/inland/article_9.md
Was zeigt die letzte Plakatierungswelle der Parteien vor der Wahl?,"Die Parteien machen klar, dass es jetzt gilt, und konkurrieren mit Slogans wie 'Zweitstimme ist Kanzlerstimme' um einen möglichst großen Anteil der Sitze im Bundestag.",2025-01-28/inland/article_3.md
"Was sagt der Vorsitzende des Deutschen Ethikrats, Helmut Frister, über den Umgang mit Sterbenden während der Pandemie?","Unter strengen Tests sollte der Kontakt ermöglicht werden, da die Möglichkeit des Abschiednehmens und das Beisammensein mit Angehörigen so wichtig sind, dass man das Risiko in Kauf nehmen müsse.",2025-01-28/inland/article_11.md
Welche Fraktionen stimmten dem 'Zeitenwende'-Gesetz im Bundestag zu?,"Die Fraktionen von SPD, Grünen, Union, FDP und AfD stimmten dem sogenannten Artikelgesetz zur 'Zeitenwende' der Bundesregierung zu.",2025-01-31/inland/article_4.md
Welche Parteien stimmten gegen Merz und kritisierten das Programm der geplanten schwarz-roten Bundesregierung?,Grüne und Linke,2025-05-06/inland/article_13.md
Welche Länder unterstützen den Iran im Atomstreit?,China und Russland,2025-03-14/ausland/article_5.md
Warum gelten die russischen Transitzüge durch Litauen als Sicherheitsrisiko?,"Die Sorge der litauischen Behörden ist, dass Russland mit den Transitzügen verdeckt Soldaten oder gar Militärgerät in die Exklave Kaliningrad transportieren könnte.",2025-05-31/ausland/article_5.md
Wovor warnte Bundespräsident Frank-Walter Steinmeier in seiner Rede?,"Bundespräsident Frank-Walter Steinmeier warnte in seiner Rede vor Geschichtsvergessenheit, Abschottung, aggressivem Nationalismus und der Verachtung von demokratischen Institutionen.",2025-05-08/inland/article_0.md
Welche Position hatte Katherina Reiche vor ihrer Nominierung zur neuen Wirtschaftsministerin?,Katherina Reiche war Vorsitzende des Nationalen Wasserstoffrates der Bundesregierung.,2025-05-06/inland/article_1.md
Welche Themen wurden im Wahlkampf laut dem Text zu kurz behandelt?,"Klima, Rente, bezahlbarer Wohnraum, Inflation, Familienpolitik, Ideen für eine bessere Bahn und mehr ÖPNV, inklusive Deutschlandticket.",2025-02-23/inland/article_13.md
Was wünscht sich Friedrich Merz bezüglich der Regierungsbildung?,"Friedrich Merz wünscht sich, dass schon ab Ostern gemeinsam regiert wird.",2025-02-28/inland/article_8.md
"Welche Währung stieg am Dienstagnachmittag bis auf 1,1361 Dollar?","Die Gemeinschaftswährung (Euro) stieg am Dienstagnachmittag bis auf 1,1361 Dollar.",2025-05-06/wirtschaft/article_1.md
Was könnte Marine Le Pen im Prozess um die Veruntreuung von EU-Geldern drohen?,Im Prozess um die mutmaßliche Veruntreuung von EU-Geldern droht der dreifachen Präsidentschaftskandidatin des Rassemblement National (RN) neben einer Haft- und Geldstrafe auch der Verlust des passiven Wahlrechts für fünf Jahre.,2025-03-31/ausland/article_3.md|2025-03-31/ausland/article_16.md
Wer war der frühere Chef des Guadalajara-Kartells?,Der frühere Chef des Guadalajara-Kartells war Rafael Caro Quintero.,2025-02-28/ausland/article_3.md
Wie viele Abgeordnete wird der nächste Bundestag laut dem neuen Wahlrecht haben?,Der nächste Bundestag wird aus 630 Abgeordneten bestehen.,2025-01-28/inland/article_6.md
Was sagt der Verband der Hausärztinnen und Hausärzte über die beschlossenen Maßnahmen?,"Der Verband der Hausärztinnen und Hausärzte spricht von einem 'guten Tag für die Hausarztpraxen' und bezeichnet die beschlossenen Maßnahmen als einen 'wichtigen ersten Schritt, um der Krise der hausärztlichen Versorgung endlich etwas entgegenzusetzen'.",2025-01-20/inland/article_1.md
Welche Steuererhöhung lehnt der designierte Landwirtschaftsminister Alois Rainer ab?,Alois Rainer lehnt die vom geschäftsführenden Minister Cem Özdemir vorgeschlagene Abgabe auf Fleisch in Höhe von zehn Cent pro Kilo ab.,2025-04-30/inland/article_6.md
Warum stehen einige Trump-Anhänger Musk und Ramaswamy kritisch gegenüber?,"Weil sie für den gewachsenen Einfluss stehen, den Unternehmen und Manager aus dem Silicon Valley zunehmend auf Trump haben, und die traditionellen Anhänger von Trumps MAGA-Bewegung sehen ihre Pläne und Trumps Versprechen, US-Arbeitnehmer in den Vordergrund zu stellen, dadurch gefährdet.",2025-01-20/ausland/article_8.md
Wie viel Geld aus dem 500-Milliarden-Paket soll in den Klimaschutz investiert werden?,100 Milliarden Euro,2025-03-14/inland/article_8.md
Wer hat Selenskyj und der Ukraine Polens Solidarität zugesichert?,Der polnische Ministerpräsident Donald Tusk hat Selenskyj und der Ukraine Polens Solidarität zugesichert.,2025-02-28/ausland/article_2.md
Was fordert der britische Premierminister Keir Starmer für die Ukraine?,"Starmer fordert Sicherheitsgarantien für die Ukraine, konkret die Bereitschaft, Truppen am Boden und Flugzeuge in der Luft einzusetzen, um ein Friedensabkommen zu sichern.",2025-02-28/ausland/article_7.md|2025-02-28/ausland/article_4.md
Wie viel hat DeepSeek in das Modell R1 investiert?,Rund sechs Millionen Euro.,2025-01-28/wirtschaft/article_10.md
Wovor warnt Scholz in Bezug auf die Union und die AfD?,"Scholz warnt vor einer möglichen Koalition aus Union und AfD und stellt in Frage, ob die Bürger sich darauf verlassen können, dass es nicht doch eine schwarz-blaue Koalition gibt.",2025-01-28/inland/article_0.md
Welche Städte in Pakistan wurden von Indien angegriffen?,"Die beiden größten Städte des Landes, Karatschi und Lahore, wurden angegriffen.",2025-05-08/ausland/article_17.md
Was war die Ursache für die plötzliche Verschlechterung des Atembilds des Papstes?,"Der Papst hatte eine 'isolierte Krise mit Bronchospasmus', was eine 'Episode von Erbrechen mit Inhalation und eine plötzliche Verschlechterung des Atembilds' zur Folge hatte.",2025-02-28/ausland/article_0.md
Wie viele Ja-Stimmen erhielt Merz bei der geheimen Abstimmung?,Er erhielt in geheimer Abstimmung 310 Ja-Stimmen.,2025-05-06/inland/article_8.md|2025-05-06/inland/article_3.md
Was geschah während der Trauer-Veranstaltung in Beirut?,"Israelische Kampfflugzeuge flogen während der Zeremonie im Tiefflug über Beirut, und das israelische Militär bombardierte mehrere Ziele im Libanon.",2025-02-23/ausland/article_4.md
Wer ist der Vorsitzende der WerteUnion?,Der Vorsitzende der WerteUnion ist der frühere Verfassungsschutzpräsident Hans-Georg Maaßen.,2025-01-28/inland/article_2.md
Was plant der französische Innenminister nach dem Messerangriff im Elsass?,"Der französische Innenminister will härtere Maßnahmen einführen, indem ausreisepflichtige Gefährder bis zur Abschiebung in Haft genommen werden sollen.",2025-02-23/ausland/article_0.md
Was ist eine 'Verfolgungsermächtigung' im Kontext der PKK?,"Eine 'Verfolgungsermächtigung' ist eine Bescheinigung des Bundesjustizministeriums, dass Zweck und Ziel einer ausländischen Vereinigung aus Sicht der Bundesregierung terroristisch sind und es im Interesse der Bundesregierung ist, diese Aktivitäten zu verfolgen.",2025-02-28/inland/article_7.md
